,Title,Year,Source,Authors,Class,topic
510,Generalizing Reinforcement Learning through Fusing Self-Supervised Learning into Intrinsic Motivation,2022,AAAI,"Keyu Wu, Min Wu, Zhenghua Chen, Yuecong Xu, Xiaoli Li",MAIN TRACK,reinforcement learning/zero_few-shot
511,Efficient Dialog Policy Learning by Reasoning with Contextual Knowledge,2022,AAAI,"Haodi Zhang, Zhichao Zeng, Keting Lu, Kaishun Wu, Shiqi Zhang",MAIN TRACK,
512,Ludus: An Optimization Framework to Balance Auto Battler Cards,2022,AAAI,"Nathaniel Budijono, Phoebe Goldman, Jack Maloney, Joseph Mueller, Phillip Walker, Jack Ladwig, Richard Freedman",MAIN TRACK,optimization
513,DeepVisualInsight: Time-Travelling Visualization for Spatio-Temporal Causality of Deep Classification Training,2022,AAAI,"Xianglin Yang, Yun Lin, Ruofan Liu, Zhenfeng He, Chao Wang, Jin Song Dong, Hong Mei",MAIN TRACK,
514,Label Hallucination for Few-Shot Classification,2022,AAAI,"Yiren Jian, Lorenzo Torresani",MAIN TRACK,
515,Bivolution: A Static and Dynamic Coupled Filter,2022,AAAI,"Xiwei Hu, Xuanhong Chen, Bingbing Ni, Teng Li, Yutian Liu",MAIN TRACK,
516,Domain-Lifted Sampling for Universal Two-Variable Logic and Extensions,2022,AAAI,"Yuanhong Wang, Timothy van Bremen, Yuyi Wang, Ondřej Kuželka",MAIN TRACK,
517,Wind Prediction under Random Data Corruption (Student Abstract),2022,AAAI,"Conner Flansburg, Dimitrios I. Diochnos",STUDENT ABSTRACT AND POSTER PROGRAM,
518,Pose Guided Image Generation from Misaligned Sources via Residual Flow Based Correction,2022,AAAI,"Jiawei Lu, He Wang, Tianjia Shao, Yin Yang, Kun Zhou",MAIN TRACK,zero_few-shot/generative model/flow
519,EMVLight: A Decentralized Reinforcement Learning Framework for Efficient Passage of Emergency Vehicles,2022,AAAI,"Haoran Su, Yaofeng Desmond Zhong, Biswadip Dey, Amit Chakraborty",MAIN TRACK,reinforcement learning
520,Interpretable Privacy Preservation of Text Representations Using Vector Steganography,2022,AAAI,Geetanjali Bihani,DOCTORAL CONSORTIUM,graph/representation
521,Algorithmic Fairness Verification with Graphical Models,2022,AAAI,"Bishwamittra Ghosh, Debabrota Basu, Kuldeep S. Meel",MAIN TRACK,graph
522,On the Use of Unrealistic Predictions in Hundreds of Papers Evaluating Graph Representations,2022,AAAI,"Li-Chung Lin, Cheng-Hung Liu, Chih-Ming Chen, Kai-Chin Hsu, I-Feng Wu, Ming-Feng Tsai, Chih-Jen Lin",MAIN TRACK,graph/representation
523,How Does Knowledge Graph Embedding Extrapolate to Unseen Data: a Semantic Evidence View,2022,AAAI,"Ren Li, Yanan Cao, Qiannan Zhu, Guanqun Bi, Fang Fang, Yi Liu, Qian Li",MAIN TRACK,graph
524,Solving PDE-Constrained Control Problems using Operator Learning,2022,AAAI,"Rakhoon Hwang, Jae Yong Lee, Jin Young Shin, Hyung Ju Hwang",MAIN TRACK,optimization
525,Language Modelling via Learning to Rank,2022,AAAI,"Arvid Frydenlund, Gagandeep Singh, Frank Rudzicz",MAIN TRACK,
526,From Fully Trained to Fully Random Embeddings: Improving Neural Machine Translation with Compact Word Embedding Tables,2022,AAAI,"Krtin Kumar, Peyman Passban, Mehdi Rezagholizadeh, Yiusing Lau, Qun Liu",MAIN TRACK,
527,Not All Parameters Should be Treated Equally: Deep Safe Semi-Supervised Learning under Class Distribution Mismatch,2022,AAAI,"Rundong He, Zhongyi Han, Yang Yang, Yilong Yin",MAIN TRACK,
528,Being Friends Instead of Adversaries: Deep Networks Learn from Data Simplified by Other Networks,2022,AAAI,"Simone Marullo, Matteo Tiezzi, Marco Gori, Stefano Melacci",MAIN TRACK,
529,Visual Sound Localization in the Wild by Cross-Modal Interference Erasing,2022,AAAI,"Xian Liu, Rui Qian, Hang Zhou, Di Hu, Weiyao Lin, Ziwei Liu, Bolei Zhou, Xiaowei Zhou",MAIN TRACK,
530,Flex Distribution for Bounded-Suboptimal Multi-Agent Path Finding,2022,AAAI,"Shao-Hung Chan, Jiaoyang Li, Graeme Gange, Daniel Harabor, Peter J. Stuckey, Sven Koenig",MAIN TRACK,reinforcement learning/multi-agent
531,Sentiment and Emotion-Aware Multi-Modal Complaint Identification,2022,AAAI,"Apoorva Singh, Soumyodeep Dey, Anamitra Singha, Sriparna Saha",AI FOR SOCIAL IMPACT TRACK,multimodal
532,A Goal-Driven Natural Language Interface for Creating Application Integration Workflows,2022,AAAI,"Michelle Brachman, Christopher Bygrave, Tathagata Chakraborti, Arunima Chaudhary, Zhining Ding, Casey Dugan, David Gros, Thomas Gschwind, James Johnson, Jim Laredo, Christoph Miksovic, Qian Pan, Priyanshu Rai, Ramkumar Ramalingam, Paolo Scotton, Nagarjuna Surabathina, Kartik Talamadupula",DEMONSTRATIONS,zero_few-shot/flow
533,Consistency Regularization for Adversarial Robustness,2022,AAAI,"Jihoon Tack, Sihyun Yu, Jongheon Jeong, Minseon Kim, Sung Ju Hwang, Jinwoo Shin",MAIN TRACK,
534,Identifying ATT&CK Tactics in Android Malware Control Flow Graph through Graph Representation Learning and Interpretability (Student Abstract),2022,AAAI,"Jeffrey Fairbanks, Andres Orbe, Christine Patterson, Edoardo Serra, Marion Scheepers",STUDENT ABSTRACT AND POSTER PROGRAM,graph/zero_few-shot/representation/flow
535,Teaching Humans When to Defer to a Classifier via Exemplars,2022,AAAI,"Hussein Mozannar, Arvind Satyanarayan, David Sontag",MAIN TRACK,
536,Uncertainty Modeling with Second-Order Transformer for Group Re-Identification,2022,AAAI,"Quan Zhang, Jianhuang Lai, Zhanxiang Feng, Xiaohua Xie",MAIN TRACK,transformer
537,Proximal PanNet: A Model-Based Deep Network for Pansharpening,2022,AAAI,"Xiangyong Cao, yang chen, Wenfei Cao",MAIN TRACK,
538,Saving Stochastic Bandits from Poisoning Attacks via Limited Data Verification,2022,AAAI,"Anshuka Rangi, Long Tran-Thanh, Haifeng Xu, Massimo Franceschetti",MAIN TRACK,
539,Monocular Camera-Based Point-Goal Navigation by Learning Depth Channel and Cross-Modality Pyramid Fusion,2022,AAAI,"Tianqi Tang, Heming Du, Xin Yu, Yi Yang",MAIN TRACK,
540,Feature Distillation Interaction Weighting Network for Lightweight Image Super-Resolution,2022,AAAI,"Guangwei Gao, Wenjie Li, Juncheng Li, Fei Wu, Huimin Lu, Yi Yu",MAIN TRACK,distillation
541,NSGZero: Efficiently Learning Non-Exploitable Policy in Large-Scale Network Security Games with Neural Monte Carlo Tree Search,2022,AAAI,"Wanqi Xue, Bo An, Chai Kiat Yeo",MAIN TRACK,
542,Adaptive Image-to-Video Scene Graph Generation via Knowledge Reasoning and Adversarial Learning,2022,AAAI,"Jin Chen, Xiaofeng Ji, Xinxiao Wu",MAIN TRACK,graph/generative model/adaptive
543,Procedural Text Understanding via Scene-Wise Evolution,2022,AAAI,"Jialong Tang, Hongyu Lin, Meng Liao, Yaojie Lu, Xianpei Han, Le Sun, Weijian Xie, Jin Xu",MAIN TRACK,
544,A Search Engine for Discovery of Scientific Challenges and Directions,2022,AAAI,"Dan Lahav, Jon Saad Falcon, Bailey Kuehl, Sophie Johnson, Sravanthi Parasa, Noam Shomron, Duen Horng Chau, Diyi Yang, Eric Horvitz, Daniel S. Weld, Tom Hope",AI FOR SOCIAL IMPACT TRACK,
545,Fractional Adaptive Linear Units,2022,AAAI,"Julio Zamora, Anthony D. Rhodes, Lama Nachman",MAIN TRACK,adaptive
546,Blindfolded Attackers Still Threatening: Strict Black-Box Adversarial Attacks on Graphs,2022,AAAI,"Jiarong Xu, Yizhou Sun, Xin Jiang, Yanhao Wang, Chunping Wang, Jiangang Lu, Yang Yang",MAIN TRACK,graph
547,SVGA-Net: Sparse Voxel-Graph Attention Network for 3D Object Detection from Point Clouds,2022,AAAI,"Qingdong He, Zhengning Wang, Hao Zeng, Yi Zeng, Yijun Liu",MAIN TRACK,graph/transformer/sparse
