Title,Year,Source,Authors,Class
Meta-Learning for Online Update of Recommender Systems,2022,AAAI,"Minseok Kim, Hwanjun Song, Yooju Shin, Dongmin Park, Kijung Shin, Jae-Gil Lee",MAIN TRACK
Sim2Real Object-Centric Keypoint Detection and Description,2022,AAAI,"Chengliang Zhong, Chao Yang, Fuchun Sun, Jinshan Qi, Xiaodong Mu, Huaping Liu, Wenbing Huang",MAIN TRACK
L-CoDe:Language-based Colorization using Color-Object Decoupled Conditions,2022,AAAI,"Shuchen Weng, Hao Wu, Zheng Chang, Jiajun Tang, Si Li, Boxin Shi",MAIN TRACK
Instance Selection: A Bayesian Decision Theory Perspective,2022,AAAI,"Qingqiang Chen, Fuyuan Cao, Ying Xing, Jiye Liang",MAIN TRACK
CoCoS: Enhancing Semi-Supervised Learning on Graphs with Unlabeled Data via Contrastive Context Sharing,2022,AAAI,"Siyue Xie, Da Sun Handason Tam, Wing Cheong Lau",MAIN TRACK
Provable Sensor Sets for Epidemic Detection over Networks with Minimum Delay,2022,AAAI,"Jack Heavey, Jiaming Cui, Chen Chen, B. Aditya Prakash, Anil Vullikanti",MAIN TRACK
Parameterized Approximation Algorithms for k-Center Clustering and Variants,2022,AAAI,"Sayan Bandyapadhyay, Zachary Friggstad, Ramin Mousavi",MAIN TRACK
Well-Classified Examples are Underestimated in Classification with Deep Neural Networks,2022,AAAI,"Guangxiang Zhao, Wenkai Yang, Xuancheng Ren, Lei Li, Yunfang Wu, Xu Sun",MAIN TRACK
Regularization Guarantees Generalization in Bayesian Reinforcement Learning through Algorithmic Stability,2022,AAAI,"Aviv Tamar, Daniel Soudry, Ev Zisselman",MAIN TRACK
Optimal Admission Control for Multiclass Queues with Time-Varying Arrival Rates via State Abstraction,2022,AAAI,"Marc Rigter, Danial Dervovic, Parisa Hassanzadeh, Jason Long, Parisa Zehtabi, Daniele Magazzeni",MAIN TRACK
Multi-Type Urban Crime Prediction,2022,AAAI,"Xiangyu Zhao, Wenqi Fan, Hui Liu, Jiliang Tang",MAIN TRACK
Identifiability of Linear AMP Chain Graph Models,2022,AAAI,"Yuhao Wang, Arnab Bhattacharyya",MAIN TRACK
Inharmonious Region Localization by Magnifying Domain Discrepancy,2022,AAAI,"Jing Liang, Li Niu, Penghao Wu, Fengjun Guo, Teng Long",MAIN TRACK
Generalizable Person Re-Identification via Self-Supervised Batch Norm Test-Time Adaption,2022,AAAI,"Ke Han, Chenyang Si, Yan Huang, Liang Wang, Tieniu Tan",MAIN TRACK
Image Difference Captioning with Pre-Training and Contrastive Learning,2022,AAAI,"Linli Yao, Weiying Wang, Qin Jin",MAIN TRACK
Bayesian Optimization over Permutation Spaces,2022,AAAI,"Aryan Deshwal, Syrine Belakaria, Janardhan Rao Doppa, Dae Hyun Kim",MAIN TRACK
Online Task Assignment Problems with Reusable Resources,2022,AAAI,"Hanna Sumita, Shinji Ito, Kei Takemura, Daisuke Hatano, Takuro Fukunaga, Naonori Kakimura, Ken-ichi Kawarabayashi",MAIN TRACK
Local Similarity Pattern and Cost Self-Reassembling for Deep Stereo Matching Networks,2022,AAAI,"Biyang Liu, Huimin Yu, Yangqi Long",MAIN TRACK
Learning Large DAGs by Combining Continuous Optimization and Feedback Arc Set Heuristics,2022,AAAI,"Pierre Gillot, Pekka Parviainen",MAIN TRACK
Learning Advanced Client Selection Strategy for Federated Learning,2022,AAAI,"Sai Qian Zhang, Jieyu Lin, Qi Zhang",MAIN TRACK
Improving Neural Cross-Lingual Abstractive Summarization via Employing Optimal Transport Distance for Knowledge Distillation,2022,AAAI,"Thong Nguyen, Luu Anh Tuan",MAIN TRACK
VECA: A New Benchmark and Toolkit for General Cognitive Development,2022,AAAI,"Kwanyoung Park, Hyunseok Oh, Youngki Lee",MAIN TRACK
Proxy Learning of Visual Concepts of Fine Art Paintings from Styles through Language Models,2022,AAAI,"Diana S Kim, Ahmed Elgammal, Marian Mazzone",MAIN TRACK
Exploring Visual Context for Weakly Supervised Person Search,2022,AAAI,"Yichao Yan, Jinpeng Li, Shengcai Liao, Jie Qin, Bingbing Ni, Ke Lu, Xiaokang Yang",MAIN TRACK
Learning Bounded Context-Free-Grammar via LSTM and the Transformer: Difference and the Explanations.,2022,AAAI,"Hui Shi, Sicun Gao, Yuandong Tian, Xinyun Chen, Jishen Zhao",MAIN TRACK
MIP-GNN: A Data-Driven Framework for Guiding Combinatorial Solvers,2022,AAAI,"Elias B. Khalil, Christopher Morris, Andrea Lodi",MAIN TRACK
A Discriminative and Robust Feature Learning Approach for EEG-Based Motor Imagery Decoding (Student Abstract),2022,AAAI,"Xiuyu Huang, Nan Zhou, Kup-Sze Choi",STUDENT ABSTRACT AND POSTER PROGRAM
Interpretable Knowledge Tracing: Simple and Efficient Student Modeling with Causal Relations,2022,AAAI,"Sein Minn, Jill-J√™nn Vie, Koh Takeuchi, Hisashi Kashima, Feida Zhu",MAIN TRACK
BiRdQA: A Bilingual Dataset for Question Answering on Tricky Riddles,2022,AAAI,"Yunxiang Zhang, Xiaojun Wan",MAIN TRACK
Deep Learning Based Side Channel Attacks on Lightweight Cryptography (Student Abstract),2022,AAAI,"Alexander Benjamin, Jack Herzoff, Liljana Babinkostova, Edoardo Serra",STUDENT ABSTRACT AND POSTER PROGRAM
Liquid Democracy with Ranked Delegations,2022,AAAI,"Markus Brill, Théo Delemazure, Anne-Marie George, Martin Lackner, Ulrike Schmidt-Kraepelin",MAIN TRACK
MONICA2: Mobile Neural Voice Command Assistants towards Smaller and Smarter,2022,AAAI,"Yoonseok Hong, Shounan An, Sunwoo Im, Jaegeon Jo, Insoo Oh",DEMONSTRATIONS
MODNet: Real-Time Trimap-Free Portrait Matting via Objective Decomposition,2022,AAAI,"Zhanghan Ke, Jiayu Sun, Kaican Li, Qiong Yan, Rynson W.H. Lau",MAIN TRACK
On the Efficacy of Small Self-Supervised Contrastive Models without Distillation Signals,2022,AAAI,"Haizhou Shi, Youcai Zhang, Siliang Tang, Wenjie Zhu, Yaqian Li, Yandong Guo, Yueting Zhuang",MAIN TRACK
Theory of and Experiments on Minimally Invasive Stability Preservation in Changing Two-Sided Matching Markets,2022,AAAI,"Niclas Boehmer, Klaus Heeger, Rolf Niedermeier",MAIN TRACK
Reliable Propagation-Correction Modulation for Video Object Segmentation,2022,AAAI,"Xiaohao Xu, Jinglu Wang, Xiao Li, Yan Lu",MAIN TRACK
Explainable Metaphor Identification Inspired by Conceptual Metaphor Theory,2022,AAAI,"Mengshi Ge, Rui Mao, Erik Cambria",MAIN TRACK
Motion-Aware Embedding Enhancement for Image-Text Retrieval,2022,AAAI,"Jiangtong Li, Li Niu, Liqing Zhang",MAIN TRACK
